ID,question,intention
0,hello i m wa wrong forum for my question so i base here i took for the first time yesterday paroxetin and thi morn it is a disast tingl all attorney in the annunci bodi cold sweat veri veri massiv and vomit im two crise sinc 5 hour mat thi seem to spend my normal rest my hand sweati and hot estc first thank you all,28
1,is what the motilium reliev me against nausea,31
2,my doctor prescrib adenyl 2nd stamp of terribl headach and 3rd palpit cold sweat intens heat in the head shake tingl in the upper lip difficulti breath after stop the drug all the symptom have disappear is thi alreadi happen to someon,28
3,is there a form adapt to the child of 5 year of micropakin,44
4,my doctor treat me to a rhino pharingit and prescrib amoxicillin as the anti biotic is it realli for thi indic,31
5,i just learn that im enceintesavez sure if i can continu rubozinc,44
6,atrax it is not danger in the long term,48
7,i am under mercilon i have nausea and bleed,28
8,atenolol what is it,22
9,i take trinordiol and at the end of my first plate i had my first boyfriend ac min the pill is therefor effect from the begin i have chest pain i feel they have grown a bit more ossifi i hurt o lower ventr i have e or c minkiété simplemen the period dadapt,23
10,laroxyl in low dose for stress,31
11,my therapist told me to take 50mg sertralin the morn and 50 mg of sertralin night 100mg can be taken either in the morn or at noon,42
12,i am under antiobiotiqu for almost a week and i chopé whatev my bitch ca scratch is superfici but it demeng to a point is thi relat to the antibiot,28
13,which vaccin against cervic cancer of the uteru,32
14,epilepsi and havlan,28
15,dtpe vaccin and b hépatir they are possibl dure pregnanc,44
16,i have just been put under androtardyl 1 week i want to know after how mani inject the product began to make it effect and after how mani day after each inject effect were felt,26
17,how to treat dishydros if the dermov and prepar copper sulphat 10mg 10l water bath and dermalibour did not work,0
18,a littl inform about acomplia i took my first stamp thi morn have you had ani side effect,28
19,oroken what risk,48
20,it may take st john wort and bach flower at the same time,34
21,when it end it wafer can we have sex raport,14
22,what is the shelf life of tegretol,7
23,is that the pill trimordiolm fat,28
24,dure the 7 day without take onc the wafer 21pilul complet is it still protect or not that week,37
25,percutaféin can it be use by men,44
26,evra patch start j 4 therefor i am not protect pdt 1 month,23
27,how to take temesta,42
28,seroxat is an antidepress or anxiolyt,4
29,you know how long can thi crisi what are the risk i see a psychlogu sinc my first so almost one year crisi thank you for your light,42
30,a mother receiv prescript montelukast 4mg arrow granul for her babi 5 month she ask whether thi shape is adapt so that the babi doe not eat yet sturdi,44
31,lidocain she help to lose weight,31
32,im suppos to take 600mg but yesterday i took a 300 after take it everi time i wa about to fall asleep jentendai full of voic come from everywher is it possibl that these are hallucin of the irregular of the take of treatment,28
33,what are the side effect of st john wort,28
34,i just start treatment cystin b6 sinc 3 day and i have ga what can i do,11
35,or get vitamin c4,24
36,the clomipramin it can caus hot flash,28
37,the euphytos is urtil for anxieti,31
38,gastrointestin specialist doctor prescrib me lansoprazol my doctor told me préscit olmetec 20 mg for hypertens and sinc i take all qiue reaction form small red spot and veri demeng ambet appear on my right quiss i stop olmetec but the point are not yet parti after 3 day what to do or take,11
39,oscillococcinum bird flu,31
40,dietari supplement natur iron that exist,32
41,i took the pill and trinordiol i forget a pill or i had unprotect sex i have not taken one i forget and i took my last pill normal es that there would be risk of be pregnant,48
42,risperd neurolept,22
43,risk of multipl pregnanc that ith clomid risk girl,48
44,i have strong heartburn i take renni and it doe not bother me you know more éfficac remedi,0
45,i am under lovenox 04 and thi drug is out do you have ani inform as to it avail,24
46,i would like to know the exact area of applic of estreva® 01 gel,14
47,xanax drug famili and nordaz,4
48,what is the risperd,31
49,urbanyl,22
50,you know how long the effect of act lysanxia,23
51,is it danger if i exceed the dose of syrup for cold,48
52,hello i have a rather unusu problem i took my first pill jasminel last friday i took it to 1930 and my period had start in the night of thursday to friday between 22h and midnight i wonder if my pill is alreadi effect or if i took my first pill too late to coincid with the first day of my rule becaus i just have sex in which the condom broke down what do you recommend im risk of pregnanc would it make sens for me to take the morn after pill thank you in advanc lucil,23
53,atarax for anxieti attack,31
54,methotrex origin of compon,40
55,i start mélodia i want to know if i am protect from the first dose,23
